year,group,N
1758,Group 1,0
1759,Group 1,0
1760,Group 1,0
1761,Group 1,0
1762,Group 1,0
1763,Group 1,0
1764,Group 1,0
1765,Group 1,0
1766,Group 1,0
1767,Group 1,0
1768,Group 1,0
1769,Group 1,0
1770,Group 1,0
1771,Group 1,1
1772,Group 1,0
1773,Group 1,1
1774,Group 1,0
1775,Group 1,0
1776,Group 1,0
1777,Group 1,0
1778,Group 1,0
1779,Group 1,0
1780,Group 1,0
1781,Group 1,0
1782,Group 1,0
1783,Group 1,0
1784,Group 1,0
1785,Group 1,0
1786,Group 1,0
1787,Group 1,0
1788,Group 1,0
1789,Group 1,0
1790,Group 1,0
1791,Group 1,0
1792,Group 1,0
1793,Group 1,1
1794,Group 1,0
1795,Group 1,0
1796,Group 1,0
1797,Group 1,0
1798,Group 1,0
1799,Group 1,0
1800,Group 1,0
1801,Group 1,0
1802,Group 1,0
1803,Group 1,0
1804,Group 1,1
1805,Group 1,0
1806,Group 1,0
1807,Group 1,0
1808,Group 1,0
1809,Group 1,1
1810,Group 1,0
1811,Group 1,0
1812,Group 1,1
1813,Group 1,0
1814,Group 1,0
1815,Group 1,0
1816,Group 1,0
1817,Group 1,0
1818,Group 1,0
1819,Group 1,0
1820,Group 1,0
1821,Group 1,0
1822,Group 1,0
1823,Group 1,1
1824,Group 1,1
1825,Group 1,1
1826,Group 1,0
1827,Group 1,0
1828,Group 1,0
1829,Group 1,0
1830,Group 1,0
1831,Group 1,1
1832,Group 1,0
1833,Group 1,0
1834,Group 1,0
1835,Group 1,1
1836,Group 1,0
1837,Group 1,3
1838,Group 1,0
1839,Group 1,0
1840,Group 1,0
1841,Group 1,1
1842,Group 1,0
1843,Group 1,0
1844,Group 1,0
1845,Group 1,0
1846,Group 1,0
1847,Group 1,0
1848,Group 1,1
1849,Group 1,0
1850,Group 1,0
1851,Group 1,0
1852,Group 1,0
1853,Group 1,1
1854,Group 1,1
1855,Group 1,0
1856,Group 1,0
1857,Group 1,0
1858,Group 1,1
1859,Group 1,0
1860,Group 1,1
1861,Group 1,1
1862,Group 1,1
1863,Group 1,2
1864,Group 1,3
